dataset,views,classes,dims,n_train,n_val,n_test,oof_reliability,train_loss,test_loss,test_acc,last_model_path,best_epoch,best_val_acc,best_test_loss,best_test_acc,best_model_path,elapsed_sec,model,status,error,uncertainty_auroc
MNIST-10k,3.0,10.0,"[30, 9, 30]",8000.0,1200.0,2000.0,,,1.315280592441559,0.902,checkpoints\MNIST-10k_ECML_last.pt,393.0,0.9091666666666667,1.324528706073761,0.8995,checkpoints\MNIST-10k_ECML_best.pt,221.5030062198639,ECML,OK,,0.8397212543554007
MNIST-4,3.0,4.0,"[30, 9, 30]",3200.0,480.0,800.0,,,0.7994521260261536,0.90125,checkpoints\MNIST-4_ECML_last.pt,465.0,0.9104166666666667,0.8033552467823029,0.9025,checkpoints\MNIST-4_ECML_best.pt,93.38526225090027,ECML,OK,,0.752734423006022
MSRC-v5,5.0,7.0,"[24, 576, 512, 256, 254]",168.0,26.0,42.0,,,1.1320617198944092,0.9523809523809523,checkpoints\MSRC-v5_ECML_last.pt,51.0,0.8846153846153846,1.5847395658493042,0.8095238095238095,checkpoints\MSRC-v5_ECML_best.pt,13.03933334350586,ECML,OK,,0.825
Movies,2.0,17.0,"[1878, 1398]",493.0,74.0,124.0,,,5.376674652099609,0.3548387096774194,checkpoints\Movies_ECML_last.pt,74.0,0.5540540540540541,3.3320083618164062,0.3709677419354839,checkpoints\Movies_ECML_best.pt,18.459643125534058,ECML,OK,,0.6880681818181817
NUS-WIDE,5.0,12.0,"[64, 144, 73, 128, 225]",1920.0,288.0,480.0,,,2.8110431830088296,0.3729166666666667,checkpoints\NUS-WIDE_ECML_last.pt,69.0,0.3923611111111111,2.811349372069041,0.3770833333333333,checkpoints\NUS-WIDE_ECML_best.pt,92.09725570678711,ECML,OK,,0.6952987249206556
OutdoorScene,4.0,8.0,"[512, 432, 256, 48]",2150.0,323.0,538.0,,,1.6158220976258741,0.8438661710037175,checkpoints\OutdoorScene_ECML_last.pt,433.0,0.8885448916408669,1.6298003595557797,0.8345724907063197,checkpoints\OutdoorScene_ECML_best.pt,88.40288734436035,ECML,OK,,0.7384623452905391
Prokaryotic,3.0,4.0,"[393, 3, 438]",440.0,66.0,111.0,,,1.3058117628097534,0.7657657657657657,checkpoints\Prokaryotic_ECML_last.pt,455.0,0.7272727272727273,1.3225831985473633,0.7477477477477478,checkpoints\Prokaryotic_ECML_best.pt,17.21691107749939,ECML,OK,,0.8262443438914027
ProteinFold,12.0,27.0,"[27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27]",555.0,84.0,139.0,,,3.393141031265259,0.4460431654676259,checkpoints\ProteinFold_ECML_last.pt,444.0,0.5357142857142857,3.410036563873291,0.4460431654676259,checkpoints\ProteinFold_ECML_best.pt,80.95666313171387,ECML,OK,,0.7792207792207791
Reuters-1200,5.0,6.0,"[2000, 2000, 2000, 2000, 2000]",960.0,144.0,240.0,,,2.3978371222813926,0.75,checkpoints\Reuters-1200_ECML_last.pt,8.0,0.8125,1.7099119623502095,0.7375,checkpoints\Reuters-1200_ECML_best.pt,62.420101165771484,ECML,OK,,0.7491666666666666
Reuters-1500,5.0,6.0,"[21531, 24892, 34251, 15506, 11547]",1200.0,180.0,300.0,,,3.473619302113851,0.8333333333333334,checkpoints\Reuters-1500_ECML_last.pt,5.0,0.8277777777777777,1.4387176036834717,0.8133333333333334,checkpoints\Reuters-1500_ECML_best.pt,194.86894345283508,ECML,OK,,0.51224
UCI,3.0,10.0,"[240, 76, 6]",1600.0,240.0,400.0,,,0.7848091125488281,0.975,checkpoints\UCI_ECML_last.pt,7.0,0.975,1.9896853566169739,0.9675,checkpoints\UCI_ECML_best.pt,56.13301706314087,ECML,OK,,0.903076923076923
WebKB,2.0,2.0,"[1840, 3000]",840.0,126.0,211.0,,,0.257951083341481,0.976303317535545,checkpoints\WebKB_ECML_last.pt,285.0,0.9682539682539683,0.25536631563263484,0.976303317535545,checkpoints\WebKB_ECML_best.pt,29.107497692108154,ECML,OK,,0.7203883495145631
Wikipedia,2.0,10.0,"[128, 10]",2292.0,344.0,574.0,,,2.123087853920169,0.6463414634146342,checkpoints\Wikipedia_ECML_last.pt,173.0,0.6831395348837209,2.148520041841248,0.6567944250871081,checkpoints\Wikipedia_ECML_best.pt,54.57947659492493,ECML,OK,,0.7793342450838501
Wikipedia-test,2.0,10.0,"[128, 10]",554.0,84.0,139.0,,,2.3969266414642334,0.5971223021582733,checkpoints\Wikipedia-test_ECML_last.pt,74.0,0.6190476190476191,2.5183210372924805,0.5899280575539568,checkpoints\Wikipedia-test_ECML_best.pt,17.96431541442871,ECML,OK,,0.6267211703958692
Yale,3.0,15.0,"[4096, 3304, 6750]",132.0,20.0,33.0,,,3.739431858062744,0.9393939393939394,checkpoints\Yale_ECML_last.pt,209.0,1.0,2.3441152572631836,0.9090909090909091,checkpoints\Yale_ECML_best.pt,11.06341814994812,ECML,OK,,0.8548387096774193
handwritten_6views,6.0,10.0,"[240, 76, 216, 47, 64, 6]",1600.0,240.0,400.0,,,1.143121361732483,0.9775,checkpoints\handwritten_6views_ECML_last.pt,282.0,0.9833333333333333,1.2254474759101868,0.975,checkpoints\handwritten_6views_ECML_best.pt,90.50766587257385,ECML,OK,,0.9383347541915317
scene15,3.0,15.0,"[1800, 1180, 1240]",3588.0,539.0,897.0,,,2.590889284576195,0.5986622073578596,checkpoints\scene15_ECML_last.pt,373.0,0.6382189239332097,2.547359393990558,0.6365663322185061,checkpoints\scene15_ECML_best.pt,154.02262544631958,ECML,OK,,0.840978688185392
